iter:183, x:20.810, y:-2.330, z:-12.914, phi:0.004, theta:-0.004, psi:-2.635 
iter:184, x:20.810, y:-2.330, z:-12.914, phi:0.004, theta:-0.004, psi:-2.635 
iter:185, x:20.810, y:-2.330, z:-12.914, phi:0.004, theta:-0.004, psi:-2.635 
iter:186, x:20.810, y:-2.330, z:-12.914, phi:0.004, theta:-0.004, psi:-2.635 
iter:187, x:20.810, y:-2.330, z:-12.914, phi:0.004, theta:-0.004, psi:-2.635 
iter:188, x:20.810, y:-2.330, z:-12.914, phi:0.004, theta:-0.004, psi:-2.635 
iter:189, x:20.810, y:-2.330, z:-12.914, phi:0.004, theta:-0.004, psi:-2.635 
iter:190, x:20.810, y:-2.330, z:-12.914, phi:0.004, theta:-0.004, psi:-2.635 
iter:191, x:20.810, y:-2.330, z:-12.914, phi:0.004, theta:-0.004, psi:-2.635 
iter:192, x:22.802, y:-2.878, z:-13.802, phi:0.000, theta:-0.001, psi:-2.767 
iter:193, x:22.802, y:-2.878, z:-13.802, phi:0.000, theta:-0.001, psi:-2.767 
iter:194, x:22.802, y:-2.878, z:-13.802, phi:0.000, theta:-0.001, psi:-2.767 
iter:195, x:22.802, y:-2.878, z:-13.802, phi:0.000, theta:-0.001, psi:-2.767 
iter:196, x:22.802, y:-2.878, z:-13.802, phi:0.000, theta:-0.001, psi:-2.767 
iter:197, x:22.802, y:-2.878, z:-13.802, phi:0.000, theta:-0.001, psi:-2.767 
iter:198, x:22.802, y:-2.878, z:-13.802, phi:0.000, theta:-0.001, psi:-2.767 
iter:199, x:22.802, y:-2.878, z:-13.802, phi:0.000, theta:-0.001, psi:-2.767 
iter:200, x:22.802, y:-2.878, z:-13.802, phi:0.000, theta:-0.001, psi:-2.767 
iter:201, x:22.802, y:-2.878, z:-13.802, phi:0.000, theta:-0.001, psi:-2.767 
iter:202, x:24.991, y:-3.483, z:-14.852, phi:0.000, theta:-0.000, psi:-2.833 
iter:203, x:25.209, y:-3.543, z:-14.959, phi:0.000, theta:-0.000, psi:-2.835 
