iter:135, x:9.752, y:-1.881, z:-11.117, phi:0.094, theta:0.553, psi:1.857 
iter:136, x:9.871, y:-1.947, z:-11.167, phi:0.092, theta:0.553, psi:1.871 
iter:137, x:10.061, y:-2.056, z:-11.247, phi:0.090, theta:0.554, psi:1.892 
iter:138, x:10.203, y:-2.141, z:-11.308, phi:0.088, theta:0.555, psi:1.908 
iter:139, x:10.391, y:-2.256, z:-11.389, phi:0.086, theta:0.556, psi:1.929 
iter:140, x:10.531, y:-2.345, z:-11.450, phi:0.084, theta:0.556, psi:1.944 
iter:141, x:10.695, y:-2.451, z:-11.521, phi:0.081, theta:0.529, psi:1.959 
iter:142, x:10.834, y:-2.544, z:-11.582, phi:0.077, theta:0.485, psi:1.969 
iter:143, x:10.996, y:-2.654, z:-11.652, phi:0.073, theta:0.443, psi:1.981 
iter:144, x:11.134, y:-2.750, z:-11.713, phi:0.069, theta:0.417, psi:1.992 
iter:145, x:11.295, y:-2.864, z:-11.784, phi:0.065, theta:0.381, psi:2.004 
iter:146, x:11.432, y:-2.963, z:-11.845, phi:0.061, theta:0.332, psi:2.013 
iter:147, x:11.614, y:-3.096, z:-11.927, phi:0.056, theta:0.276, psi:2.024 
iter:148, x:11.750, y:-3.197, z:-11.988, phi:0.052, theta:0.245, psi:2.033 
iter:149, x:11.908, y:-3.317, z:-12.061, phi:0.047, theta:0.213, psi:2.044 
iter:150, x:12.043, y:-3.420, z:-12.125, phi:0.044, theta:0.187, psi:2.052 
iter:151, x:12.222, y:-3.558, z:-12.211, phi:0.039, theta:0.158, psi:2.063 
iter:152, x:12.357, y:-3.663, z:-12.276, phi:0.036, theta:0.140, psi:2.071 
iter:153, x:12.513, y:-3.785, z:-12.353, phi:0.033, theta:0.121, psi:2.080 
iter:154, x:12.646, y:-3.891, z:-12.420, phi:0.030, theta:0.106, psi:2.087 
iter:155, x:12.802, y:-4.014, z:-12.500, phi:0.027, theta:0.092, psi:2.095 
iter:156, x:12.979, y:-4.156, z:-12.592, phi:0.024, theta:0.078, psi:2.104 
iter:157, x:13.112, y:-4.262, z:-12.662, phi:0.021, theta:0.069, psi:2.110 
iter:158, x:13.267, y:-4.387, z:-12.745, phi:0.019, theta:0.059, psi:2.117 
iter:159, x:13.399, y:-4.493, z:-12.817, phi:0.017, theta:0.052, psi:2.122 
iter:160, x:13.553, y:-4.618, z:-12.903, phi:0.015, theta:0.045, psi:2.128 
iter:161, x:13.662, y:-4.707, z:-12.964, phi:0.014, theta:0.040, psi:2.132 
